title,overview
can,Two men fight over a can of beans.
Less Than Nothing,A triptych of vignettes about lonely men and their varying coping strategies.
Cold Blooded Love,"Drama, Crime, Action"
Golden Pen,"Two young golden warriors travel from zone to zone in a mission to retrieve an unknown mysterious hidden object, which was hidden underground 100 years ago. While they face difficult, horrific, shocking adventures on their travel, they come across a helpful person to guide their adventure on track. Who do they find from the object, a mysterious, scary appearing spirit wanders around and gave a slight fright. What will happen next?"
Nishana,"The film is a tale of revenge. Police Inspector Suraj whose family is destroyed, kills his enemies as well as those of his love, Bharati."
¡Alacrán!,A student's late-night study session is violently interrupted by a giant centipede who has sneaked into her apartment through her shower drain.
Bowser Sees Space Jam,Join Bowser as he goes to the movies to see the best award-winning 1996 classic featuring Bugs Bunny and Michael Jordan!
Bluetooth Love,"Dragon Burns Promotion presents: “Bluetooth Love” the movie. This movie was inspired by Richard Burns international Bluetooth Love song. It was written, produced, directed by Richard Burns and CO produced by Cortez Burns. Bluetooth Love is a romantic comedy, that will inspire a variety of audiences."
Fuckshit 3,Five Australian boys document their final two years of high school.
PlushPlusLIVE Production's Mickey and Friends Halloween,"Mickey and his friends are ready to go Trick-or-treating at Night, Bendy, Jigglypuff, Kirby, Minun, and Boris. They are ready to go to Trick-or-treating. But when they try to go. Mickey Said No."
Exploring the Spectrum,"Kobi Nagy, age 16 finds out about how special he is. One day while perplexed by his bread sticks he thought why him? And if there was any others in the world? Join Kobi as he uncovers his own mind and specialities as he discovers who he really is and who else is like him."
METAL GEAR: SILLY,"TACTICAL SILLINESS ACTION  When Liquid Snake steals confidential government documents, Hostile Takeover sends the elusive Silly Snake to track recover the documents and take down Liquid Snake."
Halo 4,"After being awoken from cryogenic sleep, Master Chief crash lands on a planet infested by an advanced alien race known as the Prometheans. Fighting through hoards of enemies, Chief will stop at nothing to save Cortana from rampancy, but will he succeed?"
ITA Live: Oedipus,"It is election night. Oedipus is on the verge of a massive victory. The country has not known a leader for many years since Laius' death. The ambitions are great. Oedipus wants to create a future, create a new way of life. He also insists, if elected, that the investigation into the death of his predecessor is reopened. In the meanwhile, in the half-empty campaign headquarters, Oedipus is surprised by his family - mother, wife and children - with a dinner. An old incident is thereby brought up. Gradually, Oedipus discovers that his past is very different from what he has always thought. During his research, the pieces of the puzzle fall together. Oedipus tries to control his fate, but discovers that he has been seeing blind all along."
Seltser Babies,"Years before the events of Seltser City, we find our familiar cast and their adventures in daycare; nevertheless, it isn't all fun and games since throughout their travels, many may come and go and try to take down our cast of youngsters. Awesomeness ensues"
Yard Experiment,A brief display of the quiet stillness in a backyard. Filmed during the first week of the COVID-19 lockdown
Breaking Glue,"Breaking Glue follows Lou Sur, a struggling, frustrated chemistry tutor who transforms into a ruthless kingpin in the local 'Glue' drug trade, driven to satiate his hookers and blow addiction, as well as treat his eye cancer."
No Swallow for Old Men,"What's the most you've ever swallowed on a coin toss?  The third addition to the ""Big Swallow Cinematic Universe"" (The Big Swallow, dir. James Williamson, 1901 & The Bigger Swallow, dir. Christopher Wighton, 2023) sees the tables turned on Wilfred Hart as he has a coin toss from a new swallower to determine his fate.  A film made in homage to James Williamson's The Big Swallow (1901) and The Coen Brothers' No Country for Old Men (2007)."
"Tyler, The Creator - CHROMAKOPIA Live at Camp Flog Gnaw 2024","Experience the electrifying energy of Tyler, the Creator’s Camp Flog Gnaw 2024 in this official live recording uploaded to his YouTube channel. From unforgettable performances to unique stage design and surprise guest appearances, this video captures the essence of one of the year’s most iconic music festivals. Join Tyler and his vibrant crowd as they celebrate creativity, community, and unmatched artistry in this must-watch live event."
JUST KEN,"An existential Ken slowly begins to unravel the line between the Barbie world and the real world, blurring them as he questions his entire existence."
10 Things I Hate About You,"Based on the hit movie, the comedy returns to Padua High, where newcomers Kat and Bianca Stratfor attempt to navigate the popular crowd and the opposite sex while dealing with their overprotective Dad"
Circus Sisters,"Rosie meets a lady in a bar who just broke up with her boyfriend. As she comforts her, she explains what she and her friends do to men who anger them."
Demon Metal Murder V: New Blood,"The frontman of a metal band finds a cursed cowbell, turns into a demon, and havoc ensues."
Dis-topia,"After the frozen head of Walt Disney returns to complete his Experimental Prototype Community of Tomorrow, optimistic Disney-adult Vera Nelson finds herself thrust into a world of cynical revolutionaries and corporate violence."
Cupcake,Condors buddies swing by the house to crash his birthday plans with his girlfriend. What they don't know is that they were already invited to dinner.
SILENTLY UNITED,"Smooth Feather is proud to announce the release of our latest film, ""Silently United""! Parker Day, Director of ""Silently United, listened to the stories and experiences of his peers to create an authentic telling of what living with anxiety is like. While this movie is just a glimpse of one person's anxiety, we hope that this film creates space for an open dialogue between people to talk more about this unifying topic."
Carrie The Musical,"An off-Broadway musical based on the Novel by Stephen King. It was opened on March 1, 2012 And closed a month later on April 8 after 46 performances."
Tim Kim's Great Escape,"Tim Kim's Great Escape is a 2 time award winning film at the BG REEL 48 hour film challenge. The movie follows Tim Kim (Tim Kim) as he has been captured by an evil auctioneer (Carter Hellwarth). Can Tim Kim defeat the evil auctioneer and his no-good gang of goons, or will Tim Kim fall victim to his biggest threat yet!"
Make It End,"Ted, an arrogant obnoxious teenager, finds discourse from The Doctor."
Driftwood,"Set in London, Driftwood is the story of fifteen-year-old Sam, a swimming prodigy, whose life is split into two very different worlds: a poignant antithesis between talent and achievement at the dawn of his sporting career, and fear and torment in his home and social life."
Denis Villeneuve's Dune,"DUNE follows Paul Atreides a young man haunted by prophetic dreams and fated for greatness. The son of a brave ruler and warrior priestess mother he must defend his family’s stewardship of the world’s most valued resource. Dune: Part Two completes the cautionary tale of Paul Atreides’ rise to power. Vengeance, prophecy, fervent followers and political manipulation lead Paul to abandon the pull of love and his conscience to accept a fate he knows will destroy so much."
Who Goes There?,A man finds himself taken to an unknown realm after hearing a noise that triggers something in him but he isn't alone in this new world.
Dive 2: The Journey Continues,"Vignesh, a skilled swimmer, thinks winning in the pool is all he needs for success. But when his teammate Aanya quits swimming to focus on studies, he starts rethinking his choices. Struggling with school and swimming, Vignesh feels lost until his mom encourages him to find balance. With hard work, he improves in both and learns that real success comes from giving your best in all areas of life."
All Equal,"A coming of age drama that follows the lives of two friends, Sudeep and Vignesh, in their late teens. Sudeep is academically inclined, while Vignesh is passionate about sports, particularly swimming. The film sheds light on the impact of parental expectations and societal pressures on these young individuals."
Dive: The Beginning,"A heartwarming story of Vignesh, who initially struggles with swimming due to age and studies pressure. Through advice from colleagues and friends, he discovers the value of swimming, overcoming his fears and finding a new sense of purpose and fulfillment. This inspiring tale emphasizes the transformative power of self-belief and the support of loved ones."
Forgotten Mirage,"Lost in a tricky desert called the ""Forgotten Mirage,"" they try hard to escape. The desert confuses them, making it tough to find their way. But by working together and staying determined, they figure out the tricks of the mirage. Finally, they break free, carrying with them the lesson to tackle any problem bravely."
Donner Party 2,"A group of close friends take a trip to a snowy cabin for the winter. Drinks are spilled, lessons are learned, and memories are cultivated as the three day party comes unraveled."
Meet Arnold: The Movie,Meet Arnold: The Movie is 2022
New Age Natural Selection,Professor Jeremiah Watson unveils his new serum for the world to see...
The Poker Night,"When some millionaires come together for dinner, they decide to play poker. Unexpectedly, some old friends come back."
Playback Time,The best movie from the 2007 Cannes Film Festival. Carson Clay stuns with his new film.
Challenge Birds,Josh deleted Flappy Bird off of Scott's phone. Now Scott challenges Josh to an intense game of scoop and catch in order to reclaim his fallen bird.
The Day It Happened,"A 25 year old film maker is trying his absolute hardest to get his big break through into the industry and works part time as a bartender. One night while working he meets a man named Todd, who might be able to help him."
The Panic at the Disco,"Three orphaned dancers get introduced to an element known as Musiconium, turning them into superheroes. However, instead of using their powers for good, they use their powers for their own benefits in a dance-off in which the winner owns the local dance club."
Dancing in the Moonlight,"Don James, a struggling freelance writer, finds love in the new-girl Ellie Valmont — who has recently beaten a fatal cancer. After a few months of dating, however, the cancer comes back and Don must ensure Ellie’s last few days on Earth are the best days she will ever have."
Adil shehzad,"DevOps , Cncf Lahore , google cloud lahore"
Treeline,"As a photographer comes to a small town, a strange man comes into his life."
A Bite for Dinner,"When a youthful group of friends have a dinner party, they are interrupted by an odd delivery man."
Dead-Weight,"When three high school graduates supply booze for the big party, they discover their cargo isn't what they expected."
Members Only,Brian Gogetter comes back to Ohio after the failed success of his jacket.
Four Twenty,A short film about two boys getting caught smoking weed in a school lavatory.
Vaat Bahar Jai Nai,Romantic Drama of Old couple who divulges there old secrets and situation turns out to be a riot of laughter
Kropemann,"The 93-minute thriller/slasher movie/whodunit offers an alternative take on the ""Kropemann"", an ancient Luxembourg legend which was originally told to children to stop them from going near bodies of water to keep them safe from drowning."
Solstice,"For some people, the coldest, loneliest night of the year falls on Christmas Eve. ""Solstice"" tells the story of one of those people, Nick Allman (Mike Kelley), a disillusioned young man who has lost touch with the true spirit of the holidays. Set in Chicago on Christmas Eve, it follows his day from morning till midnight as he encounters a variety of characters who help renew his belief in a season where everyone's expectations run high."
Journey to Tataouine,"Dr. David West Reynolds, archaeologist and a New York Times #1 best-selling Star Wars author, learned in 1995 that the original Star Wars filming locations used for Luke Skywalker's home planet of Tatooine had become lost forever. Not even Lucasfilm, producers of the Star Wars movies knew where they were anymore. This documentary follows Dr. West Reynolds journey to Tunisia in search of the locations behind that made up the alien home world of Luke Skywalker."
The Riven,"College freshman Selena Sutter (Samantha Koerner) gets more than she bargains for when her new roommate Amy (Jess Chanliau) unwillingly drags her to a raucous frat party. Left to her own devices, Selena ends up shattered by a vicious attack and is left to finish her academic year with a crippling affliction and little hope. With the help of an intuitive science professor, she begins to heal and open her heart to an unexpected romance with a friendly teacher's assistant (Josiah Frampton), who may be hiding a secret from her. But struggling with a shaky past and the abrupt return of her assailant, Selena's new questionable affair may only contribute to her downfall."
Savage,A hopeful neurologist gathers a detail of antisocial criminals for weekly meetings in an attempt to cure them of their dysfunctional ways -- but it does not take long for him to realize that this was a bad idea from the get-go.
KIWI,A film about Sarah and James.
Khandeh dar Baran,Smiling in the Rain
Eteraf,Eteraf or Confessions
The Great Divide,"Alone and unprotected in an isolated wilderness cabin, Ruth Jordan is discovered by three drunken brutes who begin to barter for her. In desperation, she appeals to Stephen Ghent, the least degraded of the desperadoes, promising herself to him if he saves her from the others. Ghent buys off Shorty with a chain of gold nuggets and knocks Dutch senseless. Ghent then sends Dutch off with Shorty and takes Ruth to the next town, where he forces her to marry him. During the 3-day ride across the desert to Ghent's gold mine, the idealistic Ruth learns that he is a man of rough passions."
The Rose of the Rancho,"Esra Kincaid takes land by force and, having taken the Espinoza land, his sights are set on the Castro rancho. Government agent Kearney holds him off till the cavalry shows up and he can declare his love for Juanita, called “the Rose of the Rancho.”"
Run,A young woman has to stay one step ahead of a dark supernatural force.
On Trial,"A man is put on trial for the murder of his best friend. A young attorney wants to become successful and decides to defend him. However, he is very inexperienced."
Medium Rare,"Singapore's first full-length English language film, released in local cinemas in November 1991. Loosely based on the Adrian Lim ritual murders in the early 1980s, the film was shot and produced in Singapore. It was the debut filmmaking effort for its executive producer, Errol Pang, and it has been credited with reawakening Singapore's local film scene. In the movie's ending, the main character based on Adrian Lim escapes from prison and runs into an incoming truck, where Satan catches him and subjects him to eternal torture – this was said to be added to suggest to the audience that crime does not pay."
Havas,"When you have confidence, love, sometimes love is a mystery among three people"
The Human Ape,"Human Ape[1] is a National Geographic documentary film on the genetic and evolutionary origins of human behavior, and covers the genetic and behavioural similarities and differences between humans and other great apes. The award-winning independent production company Pioneer Productions of London was commissioned by National Geographic Channels International to produce Human Ape."
Forklift Drivers from Hell,"Two years after the Produce Wars, gangs of renegades rove the countryside in search of greens. All they need is a leader."
Grossery Gang Putrid Power Movie,Its the most Putrid Series ever from The Grossery Gang! With gross gangs from all over Cheap Town joining together to fight it out against the evil Clean Team. Collect and build your foul force and take on the baddies. Its icky! Its sticky! ItsPutrid Power!
Stranger,"Things pass me by, i feel distant to everything that surrounds me. I never seem to settle or find anything that fits, i feel like I'm passing through the world becoming more and more distant as my thoughts go on."
Dreams,Dreams (Nepali: ड्रिम्स्) is 2016 blockbuster Nepali movie which starred actress Samragyee RL Shah and actor Anmol K.C. in lead roles
All You Need is Kill,"A mute Cartel enforcer-turned-informant and his longtime caretaker are forced out of retirement by their previous employer, looking for revenge."
Live and Let Kill,The adventures of The Mute and Davit continue as they begin to unravel a massive criminal conspiracy with the help of an old ally.
Live Free or Kill Hard,"In the epic conclusion to the Killogy, The Mute and Davit reckon with the past and future consequences of the things they've done, The Clam joins the investigation, and the Custodian closes in."
Freaks & Errors: A Rare Collection,"Obsession, love, money, and postage. Freaks and Errors: A Rare Collection, is the first, independent documentary film that reveals the rarely seen, expectedly eccentric and surprisingly large world of stamp collecting."
Gonjeshkake ashi mashi,The Story About...
Voids,"Kathryn, a former investigator for a mysterious company, is sent to an alternate reality to track down the person that killed her former partner."
Sentimental Reminiscence,"Shots and collections of familiar surroundings and old photos, in a nostalgic remembrance of past times."
The Art Of The Capital,"A collection of observational imagery of the arts and history of London, through museums and landmarks."
Kelsey,"On the last day of the World, a woman tells her self help group why she decided to show up."
Kemis Yelebesku'let,"Kemis Yelebesku'let is a drama film about family, friendship and romance."
Life is a funny thing,A Visual poem on the exploration of nature and life.
Hale,"Hale Zukas, 73, has had cerebral palsy since birth. He was one of the founding members of the Center for Independent Living in Berkeley, the first group of its kind in the world dedicated to advocate for the rights of disabled people.  Berkeley is the birthplace of the disability movement, and the work started by Hale and others in the 1970's forever changed how the world looks at disability. Today, he continues to advocate for disability rights worldwide. This film chronicles the current life and history of a disability rights pioneer."
Memories Lost and Found III,Collection of images lost and memories found.
The Perfect Circle,"This animated short is about a elipse who was made an outcast of the circle tribe, but he was exiled from his tribe, and he goes on a journey to get back to his tribe. He makes friends with a traveling triangle and the hippie hyberbolies who give him some mint to help him learn how to change shapes so he can be perfect once for all so he can return to the Circle tribe for good."
"Perfect, I Think",A cult and some circles.
The Trouble with Money,"Shamus O'Reilly is supposed to receive $1 million for a scandalous video-tape desperately wanted by notorious businessman Kaiser Poppo. Before Shamus arrives for the switch, Poppo's thugs accidentally give the money to Shamus look-alike Dave Rickards, a radio host in the wrong place at the wrong time. Rickards is chased through the streets of San Diego and onto a train, where he makes a clean get-away with the cash. Now Poppo wants both the video and his money back, but must contend with the FBI, con men, and his long-time nemesis ""The Greek"". Despite advice from San Diego Mayor Jerry Sanders and Watergate legend G. Gordon Liddy, Rickards loses track of both the money and the video-tape. He is then tricked into a dramatic showdown with Kaiser Poppo and a 30-year-old secret is finally revealed. Written by Jay Reed Stevens"
Dark Souls Commentary,"Hello ladies and gentlemen. In this video, Matthew is going to be showing Dark Souls from start-to-finish (or as much of it as he can) and commentating on it as he goes."
5 Rules of Meeting Your Writing Prospects,"Although I am no expert at dating girls, I know that one of the best MLM recruiting tips that anyone can learn is dating your prospects.  If you do not know how to date them the right way, all you are going to get is a one-night stand and a very short-term relationship with them.  Just like dating, you need to come up with a checklist of ideal items you want to look out for in a partner.  What does your partner like?  What kind of personality do they have? Do they bitch and moan all the time, or are they happy most of the time?  What kind of hobbies do they enjoy?  Too many network marketers never come up with their own personal list and hence, do not know what exactly to look for in a prospect.  So, picture your ideal prospect.  Describe them in as much detail as possible, so that your mind starts to look out for the right people for your business."
The Cabin House,A group of college friends rent a cabin in a remote part of town for a weekend getaway. A weekend getaway that quickly turns from a weekend of fun to a weekend of pure terror.
Início do Fim,It's a gospel short movie telling a story of a couple by the end of times
OVERTIME,"A scientist must steal back the time machine he invented, but first he must outsmart the world's most relentless security guard."
Düzensiz Düzenbazlar,A group of con-men try to take down a huge casino.
Çift'lik Bank: Tosun Firarda,"Based on a true story, Tosun Firarda is about the biggest scam made in the history of Turkey."
Ne Var?,A group of pointless Turkish characters just wander around with no point in this pointless motion picture.
Fear of the Moth,"The girl is scared of a moth, so she tries to get rid of it. But it keeps coming back, bigger and bigger..."
Lee Hurst: Live At The Backyard Comedy Club,"Outrageous bald stand-up comedian and star of 'They Think It's All Over', Lee Hurst, returns with this live video, filmed at the Backyard Comedy Club. Laugh like a drain as Lee describes the way van drivers always shout 'Slaphead!' at him, and learn about the dangers of speeding and asthma."
Retrato Azul,"At the conclusion of the ""Trilogy of the Tie"" the boy has his last dream in memory of his deceased beloved."
Promenade,A series of loosely related sequences representing a wandering train of thought.
Star Beast,Two gods create the first Star Beast.
Beard Chef,A look at the life of a man and his hat and his beard.
Merry Gentlemen,"On the worst day of his life, a man encounters a merry friend who unexpectedly lifts his spirits."
Poetry Betwixt Friendship,"Kingsley, a man with a dark romantic history, and Stefan, a young boy with dreams of friendship, are forced into a scuffle over sentiments attached to a pastry."
Black Jeans Whoa,Men have conflict over pants.
Timecrowave,A microwave is given sentience and immortality.
Zombie Bro,"A young girl must enlist her juvenile father to help save the town from her biting brother. Whilst she's trying to save the town, she must go through school life whilst hiding her brother's true form"
Cin-Si Bozuk,"An epic tale saga of 2 friends who want to have sex over the weekend with their girlfriends. But when an ancient force is unleashed, they have to face of with Pennywise, the black magicians and the bad guys with chainsaws."
Sara is Missing,A calm safe neighborhood... One day she went missing.. two kids were in the forest.. they found her phone... they saw the secrets... the secrets were deadly...
Afternoon Tea,Is there tea on the go?
Dream,The story of a young artist who struggles to differentiate his dream to reality.
Neptune's Daughter,"The daughter of King Neptune takes on human form to avenge the death of her young sister, who was caught in a fishing net. However, she falls in love with the king, the man she holds responsible."
The Gatling Gun: Changing the World One Bullet at a Time,"During the American Civil War the worlds first effective machine gun. The Gatling Gun fired five bullets at a time, and while never gaining traction during the war, went on to be a major mile stone in weaponry."
Não Me Abalo,"An abstract journey of a boy facing the representation of people we all have, or have crossed paths with, in our lives."
Over the Hill to the Poorhouse,"The mother of a large family is abandoned by her children and faces consignment to the poorhouse. But one of her offspring, the one no one had faith in, returns to rescue her."
Temptation,Opera singer Renee Dupree is in love with struggling composer Julian who falls very seriously ill. She goes to impresario Mueller for the money Julian needs but is saved from sacrificing her virtue when a jealous lover kills Mueller.
Maria Rosa,"Ramon loves Catalonian peasant Maria Rosa. He uses a knife belonging to her love Andreas to kill fisherman Pedro, so Andreas goes to jail for ten years. Maria will wait for him, but Ramon convinces her Andreas dies in prison so she agrees to marry him. On their wedding day Ramon is paroled. Maria then stabs Ramon."
r/askreddit,"Online surfing was Cody's favorite hobby, until what he found what THEY've posted of him online..."
"Run, Hide, Fight",A film featuring the response by several office workers in response to an Active Shooter attack.
WWR The Show Must Go On,"Women's Wrestling Revolution held 'The Show Must Go On' this afternoon at The Aurora in Providence, Rhode Island. The show featured Priscilla Kelly's debut and Amazing Kong versus Deonna Purrazo in the main event. Here are the results of the show"
Stardom Queen's Fest,"Stardom's events can almost always be split in half as their show structure is very predictable. Their undercard suffers due to the fact they have so many young wrestlers and they don't leave wrestlers off cards if they are healthy. So you're always going to get the rookie match and the big gaijin tag match, that's life in the Stardom World. But once you get past that, Stardom has some truly amazing wrestlers that would blow the roof off any building in the world if given the chance. Both title matches here delivered, not only in execution but they also left the stories open so no one will be left behind - the stories of Tam Nakano and Momo Watanabe will continue to grow. Whether you watch it on Stardom World or find the Samurai TV version, the second half is certainly worth tracking down, particularly the main event"
Blood Quantum,A documentary exploring the controversial use of blood quantum in determining Native American identity.
Existence,"Dr Benedict has spent decades of his life creating Sandy - the world's first fully-functioning Artificial Intelligence. As they discuss the massive implications of his birth, Sandy begins to question the nature of his own existence - and whether it was a good idea to create him in the first place."
"His Majesty, Bunker Bean","His Majesty, Bunker Bean is a 1925 silent film comedy directed by Harry Beaumont and starring Matt Moore. It is based on a 1916 play, His Majesty, Bunker Bean by Lee Wilson Dodd, taken from a novel Bunker Bean by Harry Leon Wilson. It was produced and distributed by Warner Brothers."
Beautiful Mechanics,"With a technical education background, Eva (Eva Arnaz) tries to become an entrepreneur by opening a workshop. He was assisted by several friends, and it turned out that soon his efforts were quite advanced. Rudy (Geroge Rudy), one of his customers, is interested in Eva's beauty, who is considered a good-looking woman. Tit for tat, Eva received Rudy's love. Unfortunately the relationship between the two men did not get the blessing of Rudy's parents. Eva, in the eyes of Rudy's parents, was considered too low for her prospective engineer. Because the relationship between Rudy and Eva is getting tighter, finally Rudy's parents bless him too."
The Green Marker Scare,"Starting as an old-school sleuth story, young Noreen begins investigating the suspicious circumstances surrounding her father's death, uncovering a shocking and sinister conspiracy that has been wreaking havoc in her hometown for years."
Kingdom Men Rising,"Kingdom Men Rising is a documentary film exploring what it means to be a real man in the midst of cultural trends in which there is confusion about masculinity. The film wrestles honestly with the unique questions and circumstances men face today. Kingdom Men Rising takes a journey that challenges men to rise above what we have become to lives of no more sitting on the sidelines, no more passivity, and no more excuses.  This film draws from the experiences of author, pastor and speaker Dr. Tony Evans to provide clarity on this topic. Matters of significance, priorities, race and passivity are addressed from a biblical perspective. Featuring Grammy-award winning entertainer Kirk Franklin, Heisman trophy winner Tim Brown, former Dallas Cowboy quarterback Jon Kitna, Super Bowl winning coach Tony Dungy, NFL vice president Troy Vincent, author Priscilla Shirer, and others, Kingdom Men Rising provides an honest portrayal of today’s man that is countered by God’s original design."
Salad Days,"What is ""Salad Days""? Described as the period when one is young and inexperienced, ""Salad Days"" is the story of a young boy, Jake who is whisked away mid-school day by the weird, and hot...well...you know...Alice! Jake is sent on a whirlwind of an adventure to prove he's not the cookie cutter, small town kid to the quirky girl he admires so much."
Active Shooter,"A documentary regarding the Active Shooter phenomenon, and how to protect businesses, schools, and other facilities from the threats of an active assailant."
Kill Him,A homeless man goes on a search for the killer of a fellow homeless man.
Mysterious Ways,"A small time Los Angeles indie band sacrifices a groupie for hipster glory, making anyone who listens to their record turn into hipster zombies."
Queens Of Combat QOC 21,"in: American wrestling promotions, Queens Of Combat, North Carolina based wrestling promotions Queens of Combat EDIT SHARE General Alumni Event history Roster Queens of Combat Acronym QOC Established 2014 Location Charlotte, North Carolina Website Official site Queens of Combat (QOC) is an American professional wrestling promotion. It showcases women's professional wrestling, featuring independent and alumni talent for many of its wrestling events. Some talent include WWE alumni Mickie James and Serena Deeb."
Can You Imagine,"Recorded in 2010, Keith’s seventh CD/DVD, Can You Imagine?, has him entering the world of bla bla bla and so forth. You know how he does by now… Seriously, here Keith shares his never-before-told dick rash story, he tells you why you shouldn’t vote and why some news magazines on television are committing nothing short of treason, he shares with you why straight people vote against gay rights, and he still finds time to talk about the latest in sexual relations.  You will piss through your eyeballs at the hilarity."
Pyaar Vali Love Story,"Pyar Vali Love Story presents two parallel stories. The first one is between a Garage owner Pashyabhai in a chawl and a street-smart and blunt girl Nandini, living in the chawl. When their marriage takes place, Pashyabhai's younger brother Amar arrives in the chawl and then begins another love story between Amar and Aliya, a muslim girl living in the neighbourhood. Aliya's brother Kadar who is also good friend of Pashyabhai, fixes the marriage of his sister with Inspector Alam. When Kadar comes to know about his sister's relationship with Amar, he warns him and even beats him. In the meanwhile, communal riots break out and Inspector Alam is killed. Kadar suspects Amar and vows to take the revenge. Amar and Aliya who are intensely in love, manage to run away from the scene."
The Sailor Takes a Wife,"While waiting in New York City to ship out to Europe, a sailor stops by a serviceman's canteen and meets a USO hostess. They immediately fall for each other and get married that night. However, when the sailor is notified that he has been reclassified as 4-F (unfit for service) by the Navy and then discharged, he and his new wife realize that, having to set up house before they expected to, they actually know very little about each other. Complications ensue."
Pig Tales Vol. 3: Puffed Up Piglets & Time for A Change,In Puffed Up Piglets pride gets in the way of cooperation when the piglets are commissioned to find Daria's baby blanket. In Time for a Change Sebastian's use of his time machine is not nearly as effective as taking the time to help Plague understand why Sandy Squirrel must store so many acorns.
Little Tikes Land,"Little Tikes Land includes 4 CGI-animated stories featuring the Little Tikes and their friends. Meet Lily Tikes and LT Garcia! They love playing in their backyard, and through their imaginations, they are transported into fantastic adventures where they meet fun characters in enchanted lands! Episodes included are titled ""Rustee Rails Rides Again,"" ""Cozy's Big Day,"" ""Bubble Trouble,"" and ""The Search for Tubbie T. Bear,"" where the Little Tikes characters are taken through several whimsical adventures right in their own backyard, ranging from building a locomotive to exploring an underwater paradise."
Garfield and Friends: Dreams & Schemes,"After eating a pound of pasta, Garfield sometimes falls asleep and has some pretty wild dreams -- like the one where he's so huge he can climb tall buildings, or where Odie gets his own cartoon, leaving Garfield to just keep sleeping!  And this kitty's not so cool he can't get a little scared, like when he, Jon and Odie discover that a closed-down haunted house is really open, or that leftovers occasionally ran rampant in the fridge. Garfield has a big imagination, too, as you'll see when he imagines himself as a fish or a werewolf, or even Jon for a day!  There's much more to the fat cat's story, so grab some pasta, flop on the couch and tune in for some cat-toon fun with Garfield!"
For Love or Money,"Tina seems to have it all: booming business, lots of money, and a great man, Russell, that loves her. So it was no surprised when she was nominated for Mocha Magazine's Woman of year. But with one false move from her shady accountant, her award, business, and money may be gone forever. But when Russell can only offer affection, Tina runs to her rich ex, Jacoby, for financial support. Now she must decide if her pursuit should be For Love or Money."
The Woman I Love,"In World War I France, a pilot falls in love with the wife of his friend and superior officer."
The Rance Allen Group: Front Row Live,"Music &amp; Musicals, Faith &amp; Spirituality, Inspirational Music, Gospel Music - Legendary gospel trio the Rance Allen Group gives viewers an inspiring musical lift in this concert filmed as part of the Gospel Music Channel's ""Front Row Live"" performance series. Singing songs from their 2007 album, ""Closest Friend,"" the musical brothers from Detroit continue their legacy of smooth gospel stylings with an R&amp;B flair, with selections ranging from worship songs to contemporary tunes that incorporate rock, jazz and soul elements."
Latham Entertainment Presents: An All New Comedy Experience,"The stand-up comedy concert film Latham Entertainment Presents features a handful of African-American comedians including D.L. Hughley, Bruce Bruce, Earthquake, and Rickey Smiley."
The Adventure of Sudsakorn,"Based on the epic ""Phra Aphai Mani"" written by Sunthon Phu, สุดสาคร –Thailand's first cell animation– tells the heroic adventure of Sudsakorn, the son of a minstrel prince and a beautiful mermaid. During his many encounters he fights animals, ghosts and demons, and tames sharks and a dragon-horse."
His People,"The two sons of a poor Russian-Jewish pushcart peddler on New York's Lower East Side are causing their father grief. As Morris and Sammy stray from traditions cherished by their parents, each generation learns to accept change to preserve the family as a source of love and respect."
Demonic Possession,Alex is possessed...
Hank Williams First Nation,"An elderly Cree man decides that before he dies he must travel via Greyhound from his remote Indian Reservation in Northern Canada, into the southern United States to visit the grave of Hank Williams. Along the way he and his traveling companion, a 17 yr old nephew, are picked up as a regional human-interest story in the US press. News of their growing celebrity causes a stir back home among an eclectic cast of locals; including a chief running desperately for re-election, a young girl trying desperately to find a prom date, a teacher trying desperately to help, and a social worker trying desperately to get a transfer."
The Terror,"Guests at an old English manor house are stalked by a mysterious killer known only as ""The Terror""."
The Wedding,"By the time Tony found out that his illegal card room was $10,000 short, Kent would be long gone. He had pulled this kind of caper a hundred times. Kent didn't need a partner, but he couldn't resist sharing the experience with Kim, the diner waitress who could make his operation a whole lot easier. So why did Kent find himself holed up in a retirement home with a wounded woman, a man gunning for him and a group of senior citizens asking him to fix their AC? Would Kent let his greed do him in? Or would he find redemption?"
Screen Door Jesus,"A vision of Jesus sighted on the screen door of Mother Harper's front porch sparks misadventures as the media and crowds gather around the phenomenon and the townsfolk start to take sides. As more people flock to the door, some for guidance, some for healing and some for pure entertainment, the pressure on this sleepy town starts to build. From the wanton Mayor to the scheming town seductress; from the white banker to the desperate black rough neck who seeks his help; from the security guard with all the answers to the hoards gathering with nothing but questions, there's something boiling under this town and only one thing is certain: no one will escape the apocalyptic results unchanged."
Killer School Girls from Outer Space,"When a shooting star lands in Small Town USA, a teenage couple, Ben and Allison, decide to check it out. They quickly discover their shooting star is actually a flying saucer piloted by three Killer School Girls from outer space on a mission to destroy the earth! Can Ben and Allison save their small town from total disaster, or will the Killer School Girls destroy their home along with the rest of the planet? Find out in this edge-of-your-seat thriller, KILLER SCHOOL GIRLS FROM OUTER SPACE !"
Gold Diggers of Broadway,Three Broadway chorus girls seek rich husbands.
